date;cvd;tmpd;o3mean
01.01.1987;0.420454545;0.226190476;0.11556499
02.01.1987;0.625;0.321428571;0.178692043
03.01.1987;0.522727273;0.244047619;0.198081128
04.01.1987;0.443181818;0.232142857;0.077236917
05.01.1987;0.431818182;0.226190476;0.093469505
06.01.1987;0.534090909;0.113095238;0.017163275
07.01.1987;0.284090909;0.202380952;0.070923922
08.01.1987;0.579545455;0.178571429;0.078890667
09.01.1987;0.386363636;0.214285714;0.096626003
10.01.1987;0.386363636;0.261904762;0.327398808
11.01.1987;0.397727273;0.392857143;0.136757374
12.01.1987;0.511363636;0.392857143;0.071375472
13.01.1987;0.477272727;0.255952381;0.040713595
14.01.1987;0.556818182;0.267857143;0.091933362
15.01.1987;0.386363636;0.154761905;0.140815521
16.01.1987;0.522727273;0.047619048;0.147578615
17.01.1987;0.329545455;0.005952381;0.101585799
18.01.1987;0.568181818;0.101190476;0.112408492
19.01.1987;0.488636364;0.142857143;0.152211726
20.01.1987;0.284090909;0.214285714;0.327307336
21.01.1987;0.397727273;0.136904762;0.071676022
22.01.1987;0.568181818;0.172619048;0.044008026
23.01.1987;0.431818182;0.202380952;0.046679579
24.01.1987;0.681818182;0.220238095;0.129994279
25.01.1987;0.397727273;0.357142857;0.19627783
26.01.1987;0.5;0.529761905;0.085900589
27.01.1987;0.477272727;0.369047619;0.013327274
28.01.1987;0.420454545;0.321428571;0.322274943
29.01.1987;0.409090909;0.25;0.070923922
30.01.1987;0.522727273;0.232142857;0.077302254
31.01.1987;0.522727273;0.220238095;0.329833696
01.02.1987;0.295454545;0.267857143;0.299536253
02.02.1987;0.215909091;0.303571429;0.242321463
03.02.1987;0.318181818;0.297619048;0.107878468
04.02.1987;0.534090909;0.339285714;0.326492803
05.02.1987;0.363636364;0.380952381;0.137959572
06.02.1987;0.363636364;0.476190476;0.124357884
07.02.1987;0.397727273;0.601190476;0.327443818
08.02.1987;0.465909091;0.535714286;0.111956942
09.02.1987;0.397727273;0.386904762;0.019069661
10.02.1987;0.534090909;0.43452381;0.056044534
11.02.1987;0.420454545;0.363095238;0.056946183
12.02.1987;0.363636364;0.363095238;0.320995792
13.02.1987;0.375;0.321428571;0.007796869
14.02.1987;0.295454545;0.345238095;0.330052937
15.02.1987;0.204545455;0.279761905;0.127739431
16.02.1987;0.318181818;0.398809524;0.230096205
17.02.1987;0.227272727;0.291666667;0.326311311
18.02.1987;0.318181818;0.31547619;0.192476675
19.02.1987;0.136363636;0.375;0.212408782
20.02.1987;0.306818182;0.351190476;0.256699935
21.02.1987;0.431818182;0.202380952;0.187259887
22.02.1987;0.306818182;0.208333333;0.20800072
23.02.1987;0.340909091;0.130952381;0.152775076
24.02.1987;0.454545455;0.047619048;0.110679242
25.02.1987;0.375;0.095238095;0.117811127
26.02.1987;0.227272727;0.148809524;0.135542107
27.02.1987;0.454545455;0.178571429;0.172379047
28.02.1987;0.295454545;0.214285714;0.277440768
01.03.1987;0.375;0.244047619;0.422633861
02.03.1987;0.5;0.30952381;0.282892769
03.03.1987;0.272727273;0.416666667;0.338474137
04.03.1987;0.545454545;0.523809524;0.331317569
05.03.1987;0.375;0.398809524;0.076929108
06.03.1987;0.420454545;0.392857143;0.126304923
07.03.1987;0.306818182;0.339285714;0.183319346
08.03.1987;0.238636364;0.333333333;0.246778891
09.03.1987;0.420454545;0.357142857;0.121671811
10.03.1987;0.488636364;0.327380952;0.221262657
11.03.1987;0.329545455;0.369047619;0.265081932
12.03.1987;0.272727273;0.386904762;0.232349602
13.03.1987;0.465909091;0.357142857;0.166845738
14.03.1987;0.227272727;0.279761905;0.215974725
15.03.1987;0.409090909;0.255952381;0.330648229
16.03.1987;0.477272727;0.255952381;0.198553006
17.03.1987;0.363636364;0.279761905;0.231119816
18.03.1987;0.295454545;0.267857143;0.240917446
19.03.1987;0.261363636;0.279761905;0.219662629
20.03.1987;0.159090909;0.220238095;0.24948529
21.03.1987;0.295454545;0.148809524;0.347963406
22.03.1987;0.431818182;0.178571429;0.242720744
23.03.1987;0.5;0.220238095;0.333891843
24.03.1987;0.215909091;0.279761905;0.232801152
25.03.1987;0.284090909;0.369047619;0.20127828
26.03.1987;0.375;0.392857143;0.207550622
27.03.1987;0.386363636;0.31547619;0.288263462
28.03.1987;0.397727273;0.428571429;0.401893028
29.03.1987;0.409090909;0.398809524;0.367623102
30.03.1987;0.465909091;0.494047619;0.267910294
31.03.1987;0.522727273;0.488095238;0.22755097
01.04.1987;0.443181818;0.357142857;0.347980405
02.04.1987;0.352272727;0.339285714;0.270226124
03.04.1987;0.454545455;0.327380952;0.306141087
04.04.1987;0.306818182;0.244047619;0.289165111
05.04.1987;0.306818182;0.31547619;0.352469299
06.04.1987;0.295454545;0.375;0.344859729
07.04.1987;0.420454545;0.494047619;0.368273567
08.04.1987;0.5;0.541666667;0.347980954
09.04.1987;0.375;0.553571429;0.373284181
10.04.1987;0.477272727;0.410714286;0.364399815
11.04.1987;0.261363636;0.386904762;0.500641753
12.04.1987;0.306818182;0.392857143;0.451042341
13.04.1987;0.375;0.511904762;0.423094123
14.04.1987;0.454545455;0.625;0.529397245
15.04.1987;0.306818182;0.571428571;0.474369063
16.04.1987;0.397727273;0.446428571;0.467725028
17.04.1987;0.318181818;0.345238095;0.435750605
18.04.1987;0.397727273;0.386904762;0.567376854
19.04.1987;0.261363636;0.452380952;0.484409166
20.04.1987;0.261363636;0.55952381;0.360791767
21.04.1987;0.465909091;0.708333333;0.448478231
22.04.1987;0.284090909;0.708333333;0.370956735
23.04.1987;0.215909091;0.488095238;0.441805157
24.04.1987;0.363636364;0.470238095;0.356421455
25.04.1987;0.193181818;0.452380952;0.419477363
26.04.1987;0.25;0.446428571;0.46456853
27.04.1987;0.375;0.416666667;0.444401209
28.04.1987;0.352272727;0.458333333;0.370364348
29.04.1987;0.340909091;0.386904762;0.347979954
30.04.1987;0.272727273;0.422619048;0.332903078
01.05.1987;0.397727273;0.428571429;0.327041633
02.05.1987;0.352272727;0.44047619;0.527245484
03.05.1987;0.306818182;0.535714286;0.588117688
04.05.1987;0.295454545;0.613095238;0.463717698
05.05.1987;0.397727273;0.541666667;0.471969022
06.05.1987;0.318181818;0.511904762;0.570761305
07.05.1987;0.318181818;0.529761905;0.347980882
08.05.1987;0.284090909;0.541666667;0.46641103
09.05.1987;0.25;0.482142857;0.537728425
10.05.1987;0.215909091;0.505952381;0.753819304
11.05.1987;0.340909091;0.589285714;0.718990385
12.05.1987;0.420454545;0.607142857;0.698396197
13.05.1987;0.397727273;0.494047619;0.369484477
14.05.1987;0.306818182;0.511904762;0.52173831
15.05.1987;0.352272727;0.494047619;0.285086637
16.05.1987;0.295454545;0.511904762;0.427593657
17.05.1987;0.272727273;0.529761905;0.575943247
18.05.1987;0.227272727;0.488095238;0.568852016
19.05.1987;0.261363636;0.428571429;0.56049325
20.05.1987;0.238636364;0.410714286;0.366673539
21.05.1987;0.443181818;0.446428571;0.313837773
22.05.1987;0.352272727;0.410714286;0.378210582
23.05.1987;0.375;0.458333333;0.54708612
24.05.1987;0.329545455;0.416666667;0.53265683
25.05.1987;0.295454545;0.398809524;0.473722954
26.05.1987;0.318181818;0.369047619;0.386952658
27.05.1987;0.318181818;0.380952381;0.315010933
